Total Simulation steps: 2297
Td	ID	Tj	Df	Dd	Db
5	5	0	0	5	5
5	3	0	0	5	5
6	1	0	0	6	6
12	2008	1	0	11	11
14	2002	0	0	14	14
17	2014	3	0	14	14
18	2009	1	0	17	17
20	4004	5	0	15	15
20	4003	4	0	16	16
20	4009	10	0	10	10
20	8	16	0	4	4
20	4010	11	0	9	9
21	14	17	0	4	4
21	17	17	0	4	4
21	11	16	0	5	5
22	4011	12	0	10	10
22	7	16	0	6	6
22	10	16	0	6	6
23	4008	9	0	14	14
23	4012	13	0	10	10
23	13	17	0	6	6
23	16	17	0	6	6
23	4013	14	0	9	9
24	4005	6	0	18	18
24	4014	15	0	9	9
25	4002	3	0	22	22
28	4006	7	0	21	21
28	4017	18	0	10	10
30	4007	8	0	22	22
30	4000	1	0	29	29
31	4018	19	0	12	12
32	4001	2	0	30	30
33	4015	16	0	17	17
33	4020	21	0	12	12
35	4019	20	0	15	15
35	4016	17	0	18	18
37	4021	22	0	15	15
37	4022	23	0	14	14
38	2013	3	0	35	35
38	4023	24	0	14	14
39	19	34	0	5	5
39	21	34	0	5	5
39	4024	25	0	14	14
39	4025	26	0	13	13
40	4026	27	0	13	13
41	4028	29	0	12	12
42	4029	30	0	12	12
43	4031	32	0	11	11
43	4030	31	0	12	12
43	4027	28	0	15	15
44	4032	33	0	11	11
46	4033	34	0	12	12
48	2015	3	1	44	45
52	4035	36	0	16	16
52	4036	37	0	15	15
53	4037	38	0	15	15
54	4038	39	0	15	15
55	4039	40	0	15	15
57	4040	41	0	16	16
58	4041	42	0	16	16
59	4042	43	0	16	16
60	4043	44	0	16	16
61	4044	45	0	16	16
62	4045	46	0	16	16
66	4034	35	0	31	31
66	4050	51	1	14	15
66	4051	52	1	13	14
66	4047	48	0	18	18
68	4052	53	1	14	15
69	4053	54	1	14	15
71	4056	57	1	13	14
72	4057	58	1	13	14
73	4058	59	1	13	14
78	4046	47	0	31	31
79	4061	62	1	16	17
79	4064	65	1	13	14
79	4048	49	1	29	30
80	4065	66	1	13	14
89	4059	60	1	28	29
89	4071	72	1	16	17
91	4067	68	1	22	23
93	4077	78	1	14	15
94	4070	71	1	22	23
95	4055	56	1	38	39
95	4073	74	1	20	21
96	4062	63	1	32	33
96	4060	61	1	34	35
98	4054	55	1	42	43
98	4072	73	1	24	25
98	4074	75	1	22	23
99	4075	76	1	22	23
99	4063	64	1	34	35
99	4049	50	1	48	49
100	4076	77	1	22	23
100	4068	69	1	30	31
100	4066	67	1	32	33
101	4069	70	1	30	31
103	4079	80	1	22	23
104	4080	81	1	22	23
105	4081	82	1	22	23
106	4082	83	1	22	23
107	4083	84	1	22	23
107	4078	79	1	27	28
108	4084	85	1	22	23
109	4085	86	1	22	23
110	4098	99	1	10	11
111	4099	100	1	10	11
113	4088	89	2	22	24
114	4086	87	1	26	27
116	4093	94	2	20	22
117	4092	93	2	22	24
118	4102	103	1	14	15
119	26	114	0	5	5
119	29	114	0	5	5
120	4090	91	2	27	29
120	4087	88	2	30	32
121	25	114	0	7	7
121	4094	95	2	24	26
122	28	114	0	8	8
