Total Simulation steps: 4329
Td	ID	Tj	Df	Dd	Db
4	2000	1	0	3	3
6	2003	2	0	4	4
6	7	6	NaN	NaN	NaN
7	2006	3	0	4	4
7	2009	4	0	3	3
7	10	7	NaN	NaN	NaN
8	4	4	NaN	NaN	NaN
9	2015	6	0	3	3
9	2012	5	0	4	4
9	2004	2	0	7	7
9	13	9	NaN	NaN	NaN
10	2018	7	0	3	3
10	2007	3	0	7	7
10	1	1	NaN	NaN	NaN
11	2001	1	0	10	10
11	16	11	NaN	NaN	NaN
12	2013	5	0	7	7
13	2021	8	0	5	5
13	2024	9	0	4	4
13	19	13	NaN	NaN	NaN
14	2030	11	0	3	3
14	0	1	2	11	13
15	2027	10	0	5	5
15	2022	8	0	7	7
15	22	15	NaN	NaN	NaN
16	2036	13	0	3	3
16	3	4	0	12	12
17	2033	12	0	5	5
17	2028	10	0	7	7
17	25	17	NaN	NaN	NaN
18	2039	14	0	4	4
18	2042	15	0	3	3
19	2005	2	1	16	17
19	2034	12	0	7	7
19	28	19	NaN	NaN	NaN
20	2048	17	0	3	3
20	2045	16	0	4	4
20	6	6	0	14	14
21	2040	14	0	7	7
21	31	21	NaN	NaN	NaN
22	2054	19	0	3	3
23	2051	18	0	5	5
23	2046	16	0	7	7
23	34	23	NaN	NaN	NaN
25	2060	21	0	4	4
25	2057	20	0	5	5
25	2052	18	0	7	7
25	37	25	NaN	NaN	NaN
27	2066	23	0	4	4
27	2063	22	0	5	5
27	2058	20	0	7	7
28	2072	25	0	3	3
28	40	28	NaN	NaN	NaN
29	2069	24	0	5	5
29	2064	22	0	7	7
29	43	29	NaN	NaN	NaN
30	46	30	NaN	NaN	NaN
31	2075	26	0	5	5
31	2081	28	0	3	3
31	2070	24	0	7	7
32	2078	27	0	5	5
32	2084	29	0	3	3
32	49	32	NaN	NaN	NaN
33	2076	26	0	7	7
34	2087	30	0	4	4
34	2079	27	0	7	7
35	2093	32	0	3	3
35	52	35	NaN	NaN	NaN
36	2090	31	0	5	5
