Total Simulation steps: 570
Td	ID	Tj	Df	Dd	Db
2	2004	1	0	1	1
2	2005	1	0	1	1
2	2003	0	0	2	2
2	2000	0	0	2	2
3	2008	2	0	1	1
3	2006	1	0	2	2
3	2007	1	0	2	2
3	2009	2	0	1	1
4	2012	3	0	1	1
4	2010	2	0	2	2
4	2011	2	0	2	2
4	2013	3	0	1	1
5	2016	4	0	1	1
5	2014	3	0	2	2
5	2017	4	0	1	1
6	2020	5	0	1	1
6	2015	3	1	2	3
6	2018	4	0	2	2
6	2021	5	0	1	1
7	2024	6	0	1	1
7	2019	4	1	2	3
7	2022	5	0	2	2
7	2025	6	0	1	1
8	2028	7	0	1	1
8	2023	5	1	2	3
9	2032	8	0	1	1
9	2026	6	1	2	3
9	2027	6	1	2	3
9	2029	7	0	2	2
10	2030	7	1	2	3
10	2031	7	1	2	3
10	2033	8	0	2	2
11	2034	8	1	2	3
11	2035	8	1	2	3
11	2037	9	0	2	2
12	2038	9	1	2	3
12	2039	9	1	2	3
12	2040	10	1	1	2
12	2036	9	1	2	3
13	2042	10	1	2	3
13	2043	10	1	2	3
14	2048	12	0	2	2
14	2047	11	1	2	3
14	2046	11	0	3	3
16	2044	11	0	5	5
18	2055	13	1	4	5
18	2054	13	1	4	5
18	2052	13	1	4	5
19	2051	12	1	6	7
19	2050	12	1	6	7
20	2056	14	1	5	6
20	2060	15	1	4	5
21	2064	16	1	4	5
23	2059	14	1	8	9
23	2058	14	1	8	9
27	2084	21	2	4	6
27	2072	18	2	7	9
27	2074	18	2	7	9
27	2075	18	2	7	9
27	2062	15	1	11	12
27	2063	15	1	11	12
27	2067	16	2	9	11
27	2076	19	2	6	8
27	2	0	0	27	27
27	4	27	NaN	NaN	NaN
28	2068	17	2	9	11
28	2053	13	14	1	15
28	2049	12	0	16	16
28	2080	20	2	6	8
29	2088	22	3	4	7
29	2109	27	0	2	2
29	2097	24	3	2	5
29	2066	16	1	12	13
30	2071	17	2	11	13
30	2070	17	2	11	13
30	2099	24	3	3	6
30	2098	24	3	3	6
30	2096	24	3	3	6
30	2113	28	1	1	2
30	2105	26	2	2	4
31	2100	25	3	3	6
