Total Simulation steps: 12232
Td	ID	Tj	Df	Dd	Db
0	2	0	0	0	0
1	5	1	0	0	0
3	8	3	0	0	0
3	6	3	0	0	0
3	0	0	3	0	3
479	2004	2	0	477	477
1627	3321	443	1	1183	1184
1640	3114	374	1	1265	1266
1641	3315	441	1	1199	1200
1646	2706	238	1	1407	1408
1650	2331	113	1	1536	1537
1652	3000	336	1	1315	1316
2396	3204	404	1	1991	1992
2397	2424	144	1	2252	2253
2409	2589	199	1	2209	2210
2413	3126	378	1	2034	2035
2415	4620	876	1	1538	1539
2421	3252	420	1	2000	2001
3170	4608	872	1	2297	2298
3170	3453	487	1	2682	2683
3176	3552	520	1	2655	2656
3180	3651	553	1	2626	2627
3182	3849	619	1	2562	2563
3188	3750	586	1	2601	2602
3931	4056	688	1	3242	3243
3943	3957	655	1	3287	3288
3949	4155	721	1	3227	3228
3953	4254	754	1	3198	3199
3955	4353	787	1	3167	3168
3961	4452	820	1	3140	3141
4704	4551	853	1	3850	3851
4706	2058	22	1	4683	4684
4708	4572	860	1	3847	3848
4712	3039	349	1	4362	4363
4722	2271	93	1	4628	4629
4724	2223	77	1	4646	4647
4728	3978	662	1	4065	4066
4873	11	4873	0	0	0
4874	13	4874	0	0	0
4874	14	4874	0	0	0
4874	12	4874	0	0	0
4875	17	4875	0	0	0
4876	19	4876	0	0	0
4876	20	4876	0	0	0
4876	18	4876	0	0	0
4877	23	4877	0	0	0
4878	25	4878	0	0	0
4878	26	4878	0	0	0
4878	24	4878	0	0	0
4879	29	4879	0	0	0
4880	31	4880	0	0	0
4880	32	4880	0	0	0
4880	30	4880	0	0	0
4881	35	4881	0	0	0
4882	37	4882	0	0	0
4882	38	4882	0	0	0
4882	36	4882	0	0	0
4883	41	4883	0	0	0
4884	43	4884	0	0	0
4884	44	4884	0	0	0
4884	42	4884	0	0	0
4885	47	4885	0	0	0
4886	49	4886	0	0	0
4886	50	4886	0	0	0
4886	48	4886	0	0	0
4887	53	4887	0	0	0
4888	55	4888	0	0	0
4888	56	4888	0	0	0
4888	54	4888	0	0	0
4889	59	4889	0	0	0
4890	61	4890	0	0	0
4890	62	4890	0	0	0
4890	60	4890	0	0	0
4891	65	4891	0	0	0
4892	67	4892	0	0	0
4892	68	4892	0	0	0
4892	66	4892	0	0	0
4893	71	4893	0	0	0
4894	73	4894	0	0	0
4894	74	4894	0	0	0
4894	72	4894	0	0	0
4895	77	4895	0	0	0
4896	79	4896	0	0	0
4896	80	4896	0	0	0
4896	78	4896	0	0	0
4897	83	4897	0	0	0
4898	85	4898	0	0	0
4898	86	4898	0	0	0
4898	84	4898	0	0	0
4899	89	4899	0	0	0
4900	91	4900	0	0	0
4900	92	4900	0	0	0
4900	90	4900	0	0	0
4901	95	4901	0	0	0
4902	97	4902	0	0	0
4902	98	4902	0	0	0
4902	96	4902	0	0	0
4903	101	4903	0	0	0
4904	103	4904	0	0	0
4904	104	4904	0	0	0
4904	102	4904	0	0	0
4905	107	4905	0	0	0
4906	109	4906	0	0	0
4906	110	4906	0	0	0
4906	108	4906	0	0	0
4907	113	4907	0	0	0
4908	115	4908	0	0	0
4908	116	4908	0	0	0
4908	114	4908	0	0	0
4909	4581	863	1	4045	4046
4909	119	4909	0	0	0
4910	122	4910	0	0	0
4911	124	4911	0	0	0
4911	125	4911	0	0	0
4911	123	4911	0	0	0
4912	128	4912	0	0	0
4913	130	4913	0	0	0
4913	131	4913	0	0	0
4913	129	4913	0	0	0
4914	134	4914	0	0	0
4915	136	4915	0	0	0
4915	137	4915	0	0	0
4915	135	4915	0	0	0
4916	140	4916	0	0	0
4917	142	4917	0	0	0
4917	143	4917	0	0	0
4917	141	4917	0	0	0
4918	146	4918	0	0	0
4919	148	4919	0	0	0
4919	149	4919	0	0	0
4919	147	4919	0	0	0
4920	152	4920	0	0	0
4921	154	4921	0	0	0
4921	155	4921	0	0	0
4921	153	4921	0	0	0
4922	158	4922	0	0	0
4923	160	4923	0	0	0
4923	161	4923	0	0	0
4923	159	4923	0	0	0
4924	164	4924	0	0	0
4925	166	4925	0	0	0
4925	167	4925	0	0	0
4925	165	4925	0	0	0
4926	170	4926	0	0	0
4927	172	4927	0	0	0
4927	173	4927	0	0	0
4927	171	4927	0	0	0
4928	176	4928	0	0	0
4929	178	4929	0	0	0
4929	179	4929	0	0	0
4929	177	4929	0	0	0
4930	182	4930	0	0	0
4931	184	4931	0	0	0
4931	185	4931	0	0	0
4931	183	4931	0	0	0
4932	188	4932	0	0	0
4933	190	4933	0	0	0
4933	191	4933	0	0	0
4933	189	4933	0	0	0
4934	194	4934	0	0	0
4935	196	4935	0	0	0
4935	197	4935	0	0	0
4935	195	4935	0	0	0
4936	200	4936	0	0	0
4937	202	4937	0	0	0
4937	203	4937	0	0	0
4937	201	4937	0	0	0
4938	206	4938	0	0	0
4939	208	4939	0	0	0
4939	209	4939	0	0	0
4939	207	4939	0	0	0
4940	212	4940	0	0	0
4941	214	4941	0	0	0
4941	215	4941	0	0	0
4941	213	4941	0	0	0
4942	218	4942	0	0	0
4943	220	4943	0	0	0
4943	221	4943	0	0	0
4943	219	4943	0	0	0
4944	224	4944	0	0	0
4945	226	4945	0	0	0
4945	227	4945	0	0	0
4945	225	4945	0	0	0
4946	230	4946	0	0	0
4947	232	4947	0	0	0
4947	233	4947	0	0	0
4947	231	4947	0	0	0
4948	236	4948	0	0	0
4949	238	4949	0	0	0
4949	239	4949	0	0	0
4949	237	4949	0	0	0
4950	242	4950	0	0	0
4951	244	4951	0	0	0
4951	245	4951	0	0	0
4951	243	4951	0	0	0
4952	248	4952	0	0	0
4953	250	4953	0	0	0
4953	251	4953	0	0	0
4953	249	4953	0	0	0
4954	254	4954	0	0	0
4955	256	4955	0	0	0
4955	257	4955	0	0	0
4955	255	4955	0	0	0
4956	260	4956	0	0	0
4957	262	4957	0	0	0
4957	263	4957	0	0	0
4957	261	4957	0	0	0
4958	266	4958	0	0	0
4959	268	4959	0	0	0
4959	269	4959	0	0	0
4959	267	4959	0	0	0
4960	272	4960	0	0	0
4961	274	4961	0	0	0
4961	275	4961	0	0	0
4961	273	4961	0	0	0
4962	278	4962	0	0	0
4963	280	4963	0	0	0
4963	281	4963	0	0	0
4963	279	4963	0	0	0
4964	283	4964	0	0	0
4964	284	4964	0	0	0
4964	282	4964	0	0	0
4965	286	4965	0	0	0
4965	287	4965	0	0	0
4965	285	4965	0	0	0
4966	289	4966	0	0	0
4966	290	4966	0	0	0
4966	288	4966	0	0	0
4967	292	4967	0	0	0
4967	293	4967	0	0	0
4967	291	4967	0	0	0
4968	295	4968	0	0	0
4968	296	4968	0	0	0
4968	294	4968	0	0	0
4969	298	4969	0	0	0
4969	299	4969	0	0	0
4969	297	4969	0	0	0
4970	301	4970	0	0	0
4970	302	4970	0	0	0
4970	300	4970	0	0	0
4971	304	4971	0	0	0
4971	305	4971	0	0	0
4971	303	4971	0	0	0
4972	307	4972	0	0	0
4972	308	4972	0	0	0
4972	306	4972	0	0	0
4973	310	4973	0	0	0
4973	311	4973	0	0	0
4973	309	4973	0	0	0
4974	313	4974	0	0	0
4974	314	4974	0	0	0
4974	312	4974	0	0	0
4975	316	4975	0	0	0
4975	317	4975	0	0	0
4975	315	4975	0	0	0
4976	319	4976	0	0	0
4976	320	4976	0	0	0
4976	318	4976	0	0	0
4977	322	4977	0	0	0
4977	323	4977	0	0	0
4977	321	4977	0	0	0
4978	4644	884	1	4093	4094
4978	325	4978	0	0	0
4978	326	4978	0	0	0
4978	324	4978	0	0	0
4979	329	4979	0	0	0
4980	331	4980	0	0	0
4980	332	4980	0	0	0
4980	330	4980	0	0	0
4981	335	4981	0	0	0
4982	337	4982	0	0	0
4982	338	4982	0	0	0
4982	336	4982	0	0	0
4983	341	4983	0	0	0
4984	343	4984	0	0	0
4984	344	4984	0	0	0
4984	342	4984	0	0	0
4985	347	4985	0	0	0
4986	349	4986	0	0	0
4986	350	4986	0	0	0
4986	348	4986	0	0	0
4987	353	4987	0	0	0
