Total Simulation steps: 7186
Td	ID	Tj	Df	Dd	Db
2	2000	2	0	0	0
2	2001	2	0	0	0
2	2003	2	0	0	0
2	2002	2	0	0	0
3	2004	3	0	0	0
3	2007	3	0	0	0
3	2006	3	0	0	0
3	2005	3	0	0	0
4	2008	4	0	0	0
4	2011	4	0	0	0
4	2010	4	0	0	0
4	2009	4	0	0	0
5	2012	5	0	0	0
5	2015	5	0	0	0
5	2014	5	0	0	0
5	2013	5	0	0	0
6	2016	6	0	0	0
6	2019	6	0	0	0
6	2018	6	0	0	0
6	2017	6	0	0	0
7	2020	7	0	0	0
7	2023	7	0	0	0
7	2022	7	0	0	0
7	2021	7	0	0	0
8	2024	8	0	0	0
8	2027	8	0	0	0
8	2026	8	0	0	0
8	2025	8	0	0	0
9	2028	9	0	0	0
9	2031	9	0	0	0
9	2030	9	0	0	0
9	2029	9	0	0	0
10	2032	10	0	0	0
10	2035	10	0	0	0
10	2034	10	0	0	0
10	2033	10	0	0	0
11	2036	11	0	0	0
11	2039	11	0	0	0
11	2038	11	0	0	0
11	2037	11	0	0	0
12	2040	12	0	0	0
12	2043	12	0	0	0
12	2042	12	0	0	0
12	2041	12	0	0	0
13	2044	13	0	0	0
13	2047	13	0	0	0
13	2046	13	0	0	0
13	2045	13	0	0	0
14	2048	14	0	0	0
14	2051	14	0	0	0
14	2050	14	0	0	0
14	2049	14	0	0	0
15	2052	15	0	0	0
15	2055	15	0	0	0
15	2054	15	0	0	0
15	2053	15	0	0	0
16	2056	16	0	0	0
16	2059	16	0	0	0
16	2058	16	0	0	0
16	2057	16	0	0	0
17	2060	17	0	0	0
17	2063	17	0	0	0
17	2062	17	0	0	0
17	2061	17	0	0	0
18	2064	18	0	0	0
18	2067	18	0	0	0
18	2066	18	0	0	0
18	2065	18	0	0	0
19	2068	19	0	0	0
19	2071	19	0	0	0
19	2070	19	0	0	0
19	2069	19	0	0	0
20	2072	20	0	0	0
20	2075	20	0	0	0
20	2074	20	0	0	0
20	2073	20	0	0	0
21	2076	21	0	0	0
21	2079	21	0	0	0
21	2078	21	0	0	0
21	2077	21	0	0	0
22	2080	22	0	0	0
22	2083	22	0	0	0
22	2082	22	0	0	0
22	2081	22	0	0	0
23	2084	23	0	0	0
23	2087	23	0	0	0
23	2086	23	0	0	0
23	2085	23	0	0	0
24	2088	24	0	0	0
24	2091	24	0	0	0
24	2090	24	0	0	0
24	2089	24	0	0	0
25	2092	25	0	0	0
25	2095	25	0	0	0
25	2094	25	0	0	0
25	2093	25	0	0	0
26	2096	26	0	0	0
26	2099	26	0	0	0
26	2098	26	0	0	0
26	2097	26	0	0	0
27	2100	27	0	0	0
27	2103	27	0	0	0
27	2102	27	0	0	0
27	2101	27	0	0	0
28	2104	28	0	0	0
28	2107	28	0	0	0
28	2106	28	0	0	0
28	2105	28	0	0	0
29	2108	29	0	0	0
29	2111	29	0	0	0
29	2110	29	0	0	0
29	2109	29	0	0	0
30	2112	30	0	0	0
30	2115	30	0	0	0
30	2114	30	0	0	0
30	2113	30	0	0	0
31	2116	31	0	0	0
31	2119	31	0	0	0
31	2118	31	0	0	0
31	2117	31	0	0	0
32	2120	32	0	0	0
32	2123	32	0	0	0
32	2122	32	0	0	0
32	2121	32	0	0	0
33	2124	33	0	0	0
33	2127	33	0	0	0
33	2126	33	0	0	0
33	2125	33	0	0	0
34	2128	34	0	0	0
34	2131	34	0	0	0
34	2130	34	0	0	0
34	2129	34	0	0	0
35	2132	35	0	0	0
35	2135	35	0	0	0
35	2134	35	0	0	0
35	2133	35	0	0	0
36	2136	36	0	0	0
36	2139	36	0	0	0
36	2138	36	0	0	0
36	2137	36	0	0	0
37	2140	37	0	0	0
37	2143	37	0	0	0
37	2142	37	0	0	0
37	2141	37	0	0	0
38	2144	38	0	0	0
38	2147	38	0	0	0
38	2146	38	0	0	0
38	2145	38	0	0	0
39	2148	39	0	0	0
39	2151	39	0	0	0
39	2150	39	0	0	0
39	2149	39	0	0	0
40	2152	40	0	0	0
40	2155	40	0	0	0
40	2154	40	0	0	0
40	2153	40	0	0	0
