Total Simulation steps: 4182
Td	ID	Tj	Df	Dd	Db
2	3	1	0	1	1
2	2	1	0	1	1
2	1	1	0	1	1
2	5	2	0	0	0
2	6	2	0	0	0
2	0	1	0	1	1
3	9	3	0	0	0
3	7	2	0	1	1
4	11	3	0	1	1
4	10	3	0	1	1
4	14	4	0	0	0
5	12	4	0	1	1
5	15	4	0	1	1
5	13	4	0	1	1
5	17	5	0	0	0
5	18	5	0	0	0
6	19	5	0	1	1
6	23	6	0	0	0
6	22	6	0	0	0
7	20	6	0	1	1
7	21	6	0	1	1
7	25	7	0	0	0
7	26	7	0	0	0
8	27	7	0	1	1
8	31	8	0	0	0
8	30	8	0	0	0
9	28	8	0	1	1
9	29	8	0	1	1
9	33	9	0	0	0
9	34	9	0	0	0
10	35	9	0	1	1
10	39	10	0	0	0
10	38	10	0	0	0
11	36	10	0	1	1
11	37	10	0	1	1
11	41	11	0	0	0
11	42	11	0	0	0
12	43	11	0	1	1
12	46	12	0	0	0
13	44	12	0	1	1
13	47	12	0	1	1
13	45	12	0	1	1
13	49	13	0	0	0
13	50	13	0	0	0
14	51	13	0	1	1
14	54	14	0	0	0
15	52	14	0	1	1
15	55	14	0	1	1
15	53	14	0	1	1
15	57	15	0	0	0
15	58	15	0	0	0
16	59	15	0	1	1
16	63	16	0	0	0
16	62	16	0	0	0
17	60	16	0	1	1
17	61	16	0	1	1
17	65	17	0	0	0
17	66	17	0	0	0
18	67	17	0	1	1
18	70	18	0	0	0
19	68	18	0	1	1
19	71	18	0	1	1
19	69	18	0	1	1
19	73	19	0	0	0
19	74	19	0	0	0
20	75	19	0	1	1
20	79	20	0	0	0
20	78	20	0	0	0
21	76	20	0	1	1
21	77	20	0	1	1
21	81	21	0	0	0
21	82	21	0	0	0
22	83	21	0	1	1
22	87	22	0	0	0
22	86	22	0	0	0
23	84	22	0	1	1
23	85	22	0	1	1
23	89	23	0	0	0
23	90	23	0	0	0
24	91	23	0	1	1
24	94	24	0	0	0
25	92	24	0	1	1
25	95	24	0	1	1
25	93	24	0	1	1
25	97	25	0	0	0
25	98	25	0	0	0
26	99	25	0	1	1
26	103	26	0	0	0
26	102	26	0	0	0
27	100	26	0	1	1
27	101	26	0	1	1
27	105	27	0	0	0
27	106	27	0	0	0
28	107	27	0	1	1
28	111	28	0	0	0
28	110	28	0	0	0
29	108	28	0	1	1
29	109	28	0	1	1
29	113	29	0	0	0
29	114	29	0	0	0
30	115	29	0	1	1
30	118	30	0	0	0
31	116	30	0	1	1
31	119	30	0	1	1
31	117	30	0	1	1
31	121	31	0	0	0
31	122	31	0	0	0
32	123	31	0	1	1
32	127	32	0	0	0
32	126	32	0	0	0
33	124	32	0	1	1
33	125	32	0	1	1
33	129	33	0	0	0
33	130	33	0	0	0
34	131	33	0	1	1
34	135	34	0	0	0
34	134	34	0	0	0
35	132	34	0	1	1
35	133	34	0	1	1
35	137	35	0	0	0
35	138	35	0	0	0
36	139	35	0	1	1
36	136	35	0	1	1
36	142	36	0	0	0
37	140	36	0	1	1
37	143	36	0	1	1
37	141	36	0	1	1
37	145	37	0	0	0
37	146	37	0	0	0
38	147	37	0	1	1
38	150	38	0	0	0
39	148	38	0	1	1
39	151	38	0	1	1
39	149	38	0	1	1
39	153	39	0	0	0
39	154	39	0	0	0
40	155	39	0	1	1
40	159	40	0	0	0
40	158	40	0	0	0
41	156	40	0	1	1
41	157	40	0	1	1
41	161	41	0	0	0
41	162	41	0	0	0
42	163	41	0	1	1
42	166	42	0	0	0
43	164	42	0	1	1
43	167	42	0	1	1
43	165	42	0	1	1
43	169	43	0	0	0
43	170	43	0	0	0
44	171	43	0	1	1
44	174	44	0	0	0
45	172	44	0	1	1
45	175	44	0	1	1
45	173	44	0	1	1
45	177	45	0	0	0
45	178	45	0	0	0
46	179	45	0	1	1
46	183	46	0	0	0
46	182	46	0	0	0
47	180	46	0	1	1
47	181	46	0	1	1
47	185	47	0	0	0
47	186	47	0	0	0
48	187	47	0	1	1
48	190	48	0	0	0
49	188	48	0	1	1
49	191	48	0	1	1
49	189	48	0	1	1
49	193	49	0	0	0
49	194	49	0	0	0
50	195	49	0	1	1
50	199	50	0	0	0
50	198	50	0	0	0
51	196	50	0	1	1
51	197	50	0	1	1
51	201	51	0	0	0
51	202	51	0	0	0
52	203	51	0	1	1
52	207	52	0	0	0
52	206	52	0	0	0
53	204	52	0	1	1
53	205	52	0	1	1
53	209	53	0	0	0
53	210	53	0	0	0
54	211	53	0	1	1
54	214	54	0	0	0
55	212	54	0	1	1
55	215	54	0	1	1
55	213	54	0	1	1
55	217	55	0	0	0
55	218	55	0	0	0
56	219	55	0	1	1
56	216	55	0	1	1
56	222	56	0	0	0
57	220	56	0	1	1
57	223	56	0	1	1
57	221	56	0	1	1
57	225	57	0	0	0
57	226	57	0	0	0
58	227	57	0	1	1
58	231	58	0	0	0
58	230	58	0	0	0
59	228	58	0	1	1
59	229	58	0	1	1
59	233	59	0	0	0
