Total Simulation steps: 128
Td	ID	Tj	Df	Dd	Db
14	9	2	14	12	12
14	24	9	14	5	5
14	27	9	14	5	5
14	2	0	14	14	14
14	28	10	14	4	4
14	0	0	14	14	14
14	35	11	14	3	3
14	5	1	14	13	13
14	37	12	14	2	2
14	6	1	14	13	13
14	1	0	14	14	14
14	8	2	14	12	12
14	34	11	14	3	3
14	32	11	14	3	3
14	26	9	14	5	5
14	25	9	14	5	5
14	23	7	14	7	7
14	22	7	14	7	7
14	21	7	14	7	7
14	17	4	14	10	10
14	11	2	14	12	12
15	42	15	15	0	0
15	41	15	15	0	0
15	15	3	15	12	12
15	43	15	15	0	0
15	14	3	15	12	12
15	13	3	15	12	12
15	16	4	15	11	11
16	46	16	16	0	0
16	45	16	16	0	0
16	47	16	16	0	0
17	50	17	17	0	0
17	49	17	17	0	0
17	51	17	17	0	0
18	54	18	18	0	0
18	53	18	18	0	0
18	55	18	18	0	0
19	58	19	19	0	0
19	57	19	19	0	0
19	59	19	19	0	0
20	62	20	20	0	0
20	61	20	20	0	0
20	63	20	20	0	0
21	66	21	21	0	0
21	65	21	21	0	0
21	67	21	21	0	0
22	70	22	22	0	0
22	69	22	22	0	0
22	71	22	22	0	0
23	74	23	23	0	0
23	73	23	23	0	0
23	75	23	23	0	0
24	78	24	24	0	0
24	77	24	24	0	0
24	79	24	24	0	0
25	82	25	25	0	0
25	81	25	25	0	0
25	83	25	25	0	0
26	86	26	26	0	0
26	85	26	26	0	0
26	87	26	26	0	0
27	90	27	27	0	0
27	89	27	27	0	0
27	91	27	27	0	0
28	94	28	28	0	0
28	93	28	28	0	0
28	95	28	28	0	0
29	98	29	29	0	0
29	97	29	29	0	0
29	99	29	29	0	0
30	102	30	30	0	0
30	101	30	30	0	0
30	103	30	30	0	0
31	106	31	31	0	0
31	105	31	31	0	0
31	107	31	31	0	0
32	110	32	32	0	0
32	109	32	32	0	0
32	111	32	32	0	0
33	114	33	33	0	0
33	113	33	33	0	0
33	115	33	33	0	0
34	118	34	34	0	0
34	117	34	34	0	0
34	119	34	34	0	0
35	122	35	35	0	0
35	121	35	35	0	0
35	123	35	35	0	0
36	126	36	36	0	0
36	125	36	36	0	0
36	127	36	36	0	0
37	130	37	37	0	0
37	129	37	37	0	0
37	131	37	37	0	0
38	134	38	38	0	0
38	133	38	38	0	0
38	135	38	38	0	0
39	138	39	39	0	0
39	137	39	39	0	0
39	139	39	39	0	0
40	142	40	40	0	0
40	141	40	40	0	0
40	143	40	40	0	0
41	146	41	41	0	0
41	145	41	41	0	0
41	147	41	41	0	0
42	150	42	42	0	0
42	149	42	42	0	0
42	151	42	42	0	0
43	154	43	43	0	0
43	153	43	43	0	0
43	155	43	43	0	0
44	158	44	44	0	0
44	157	44	44	0	0
44	159	44	44	0	0
45	162	45	45	0	0
45	161	45	45	0	0
45	163	45	45	0	0
46	166	46	46	0	0
46	165	46	46	0	0
46	167	46	46	0	0
47	170	47	47	0	0
47	169	47	47	0	0
47	171	47	47	0	0
48	174	48	48	0	0
48	173	48	48	0	0
48	175	48	48	0	0
49	178	49	49	0	0
49	177	49	49	0	0
49	179	49	49	0	0
50	182	50	50	0	0
50	181	50	50	0	0
50	183	50	50	0	0
51	186	51	51	0	0
51	185	51	51	0	0
51	187	51	51	0	0
52	190	52	52	0	0
52	189	52	52	0	0
52	191	52	52	0	0
53	194	53	53	0	0
53	193	53	53	0	0
53	195	53	53	0	0
54	198	54	54	0	0
54	197	54	54	0	0
54	199	54	54	0	0
55	202	55	55	0	0
55	201	55	55	0	0
55	203	55	55	0	0
56	206	56	56	0	0
56	205	56	56	0	0
56	207	56	56	0	0
57	210	57	57	0	0
57	209	57	57	0	0
57	211	57	57	0	0
58	214	58	58	0	0
58	213	58	58	0	0
58	215	58	58	0	0
59	218	59	59	0	0
59	217	59	59	0	0
59	219	59	59	0	0
60	222	60	60	0	0
60	221	60	60	0	0
60	223	60	60	0	0
61	226	61	61	0	0
61	225	61	61	0	0
61	227	61	61	0	0
62	230	62	62	0	0
62	229	62	62	0	0
62	231	62	62	0	0
63	234	63	63	0	0
63	233	63	63	0	0
63	235	63	63	0	0
64	238	64	64	0	0
64	237	64	64	0	0
64	239	64	64	0	0
65	242	65	65	0	0
65	241	65	65	0	0
65	243	65	65	0	0
66	246	66	66	0	0
66	245	66	66	0	0
66	247	66	66	0	0
67	250	67	67	0	0
67	249	67	67	0	0
67	251	67	67	0	0
68	254	68	68	0	0
68	253	68	68	0	0
68	255	68	68	0	0
69	258	69	69	0	0
69	257	69	69	0	0
